Date,Adj Close,Close,High,Low,Open,Volume
2013-11-18,46.55,48.48,50.0,47.49,49.75,587100
2013-11-19,43.98,45.8,49.0,45.3,48.99,1682000
2013-11-20,42.87,44.65,46.0,43.99,45.98,1106900
2013-11-21,42.05,43.79,45.15,43.04,44.5,730200
2013-11-22,42.24,43.99,44.1,43.25,43.9,947600
2013-11-25,42.42,44.18,45.62,43.7,44.28,727300
2013-11-26,41.48,43.2,45.0,43.04,45.0,873700
2013-11-27,41.52,43.24,43.55,42.5,43.55,1153300
2013-11-29,41.52,43.24,43.85,42.75,42.75,949900
2013-12-02,41.42,43.14,43.67,41.52,43.08,5130700
2013-12-03,41.19,42.9,44.85,42.7,42.8,3239300
2013-12-04,40.16,41.83,42.61,41.65,42.43,2777700
2013-12-05,39.42,41.05,42.28,40.63,42.28,3380500
2013-12-06,39.08,40.7,41.06,40.64,40.75,4662300
2013-12-09,39.54,41.18,41.27,40.24,40.7,3074000
2013-12-10,40.87,42.56,42.84,41.04,41.07,3289400
2013-12-11,40.77,42.46,43.02,42.0,42.32,3367300
2013-12-12,41.26,42.97,43.1,42.0,42.01,1770500
2013-12-13,41.53,43.25,43.8,42.92,42.92,683800
2013-12-16,41.95,43.69,43.99,42.11,43.01,1953900
2013-12-17,42.01,43.75,44.0,43.16,43.43,1396700
2013-12-18,42.51,44.27,44.5,43.1,43.65,1225200
2013-12-19,42.68,44.45,44.5,43.82,43.96,593000
2013-12-20,42.5,44.26,44.45,43.91,44.3,2878600
2013-12-23,42.87,44.65,44.85,43.55,44.17,773600
2013-12-24,42.8,44.58,45.02,44.25,44.76,304700
2013-12-26,42.92,44.7,45.01,44.44,44.86,513200
2013-12-27,42.86,44.64,44.97,44.09,44.77,393300
2013-12-30,42.36,44.12,44.88,44.0,44.45,381500
2013-12-31,42.43,44.19,44.5,43.76,44.23,874200
2014-01-02,41.91,43.65,44.18,43.27,44.08,992900
2014-01-03,42.21,43.96,44.32,43.17,43.57,378400
2014-01-06,41.94,43.68,43.98,43.37,43.97,597800
2014-01-07,42.12,43.87,43.98,42.16,42.16,1371300
2014-01-08,42.13,43.88,44.36,43.4,44.02,1407100
2014-01-09,42.37,44.13,44.25,43.84,43.89,1093500
2014-01-10,43.91,45.73,46.08,44.02,44.17,2008600
2014-01-13,45.17,47.04,47.44,45.2,45.7,2278500
2014-01-14,45.9,47.8,47.89,46.91,47.16,2338200
2014-01-15,45.61,47.5,49.19,47.26,47.97,1733000
2014-01-16,45.51,47.4,47.68,47.04,47.28,1178700
2014-01-17,46.09,48.0,48.24,47.0,47.52,1572100
2014-01-21,46.25,48.17,49.38,47.94,49.38,1570400
2014-01-22,46.58,48.51,49.16,48.08,48.11,682200
2014-01-23,45.82,47.72,48.68,47.58,48.68,867600
2014-01-24,44.97,46.84,47.71,45.83,47.62,1417500
2014-01-27,44.74,46.6,48.0,45.2,45.2,717800
2014-01-28,45.83,47.73,47.88,46.77,46.77,721700
2014-01-29,45.88,47.78,48.48,47.13,47.35,800900
2014-01-30,47.45,49.42,49.63,47.83,47.91,1247100
2014-01-31,47.38,49.35,49.96,49.03,49.25,2011100
2014-02-03,45.55,47.44,49.94,47.2,49.35,1184800
2014-02-04,46.14,48.05,48.48,47.32,47.44,891300
2014-02-05,45.7,47.6,48.65,47.15,47.84,823100
2014-02-06,47.28,49.24,49.27,47.5,47.5,1168400
2014-02-07,47.95,49.94,50.27,49.33,49.33,1837500
2014-02-10,47.86,49.84,50.12,49.45,49.99,763400
2014-02-11,47.9,49.89,50.41,49.33,49.73,1446100
2014-02-12,48.01,50.0,51.0,49.73,49.92,1405300
2014-02-13,48.12,50.12,50.44,49.59,49.98,695000
2014-02-14,47.65,49.63,50.25,49.59,50.15,891700
2014-02-18,48.11,50.11,50.86,49.72,49.72,2748500
2014-02-19,47.2,49.16,50.34,49.03,49.84,1076100
2014-02-20,49.47,51.52,52.78,49.1,50.23,2623600
2014-02-21,50.28,52.37,52.79,51.75,51.75,2198700
2014-02-24,50.76,52.86,53.11,52.36,52.36,667900
2014-02-25,52.39,54.56,54.58,52.93,53.0,1117600
2014-02-26,52.48,54.66,55.78,54.18,54.83,1880100
2014-02-27,53.15,55.35,55.53,54.21,54.69,1139900
2014-02-28,52.19,54.35,55.32,53.82,55.09,1198500
2014-03-03,51.36,53.49,54.93,53.08,54.67,659600
2014-03-04,51.85,54.0,55.0,53.48,53.71,1189900
2014-03-05,51.8,53.95,54.31,53.38,53.9,395000
2014-03-06,51.07,53.19,54.1,53.04,53.99,617400
2014-03-07,51.26,53.39,53.78,52.59,53.44,776100
2014-03-10,51.17,53.29,53.67,52.24,53.2,1155300
2014-03-11,52.33,54.5,54.8,53.45,53.49,874700
2014-03-12,52.12,54.28,54.74,52.77,54.42,1255500
2014-03-13,51.54,53.6,54.71,53.13,54.46,946400
2014-03-14,51.25,53.3,53.95,53.25,53.62,1071800
2014-03-17,50.93,52.96,53.83,52.93,53.44,1011700
2014-03-18,51.23,53.28,53.49,52.71,52.95,880800
2014-03-19,51.23,53.28,54.0,52.92,53.18,645000
2014-03-20,52.09,54.17,54.22,52.82,53.41,628100
2014-03-21,51.74,53.81,54.81,53.74,54.38,1356800
2014-03-24,51.42,53.47,54.23,53.04,54.0,895600
2014-03-25,51.17,53.21,53.9,53.17,53.7,708000
2014-03-26,50.04,52.04,53.5,52.01,53.32,691100
2014-03-27,49.47,51.45,51.97,51.19,51.87,492900
2014-03-28,50.16,52.16,52.44,51.54,51.62,346100
2014-03-31,50.17,52.17,52.58,51.91,52.38,334600
2014-04-01,51.85,53.92,54.06,52.29,52.44,593600
2014-04-02,52.57,54.67,54.81,53.59,53.92,500500
2014-04-03,52.84,54.95,55.0,54.58,54.77,427900
2014-04-04,51.67,53.73,55.35,53.0,54.82,492000
2014-04-07,49.64,51.62,54.0,51.53,53.71,1054200
2014-04-08,49.44,51.41,51.78,50.81,51.34,1213700
2014-04-09,49.52,51.5,51.59,51.23,51.46,1212800
2014-04-10,48.73,50.68,51.79,50.12,51.52,1488500
2014-04-11,48.09,50.01,50.9,49.86,50.53,1184600
2014-04-14,47.86,49.77,50.61,49.18,50.28,605900
2014-04-15,48.04,49.96,50.43,48.93,49.88,419300
2014-04-16,48.3,50.23,50.72,49.84,50.16,254000
2014-04-17,48.22,50.15,50.54,49.43,50.07,427200
2014-04-21,48.69,50.63,50.65,49.6,49.98,225700
2014-04-22,49.04,51.0,51.15,50.36,50.71,422500
2014-04-23,48.46,50.4,50.96,49.98,50.89,507800
2014-04-24,48.31,50.24,50.78,49.72,50.62,659800
2014-04-25,47.64,49.54,50.39,49.37,49.95,290300
2014-04-28,46.95,48.82,50.08,48.45,49.84,605400
2014-04-29,47.02,48.9,49.43,48.46,48.96,442000
2014-04-30,47.45,49.35,49.46,48.44,49.0,481100
2014-05-01,49.28,51.25,51.86,49.48,51.0,722100
2014-05-02,48.75,50.7,51.74,50.25,51.18,479000
2014-05-05,48.14,50.06,50.52,49.57,50.28,413800
2014-05-06,47.97,49.89,50.16,49.55,49.95,596000
2014-05-07,48.01,49.93,50.32,49.34,49.89,598000
2014-05-08,47.46,49.36,50.4,49.11,49.6,530600
2014-05-09,48.08,50.0,50.16,48.67,49.2,489100
2014-05-12,48.54,50.48,50.84,50.05,50.05,586100
2014-05-13,48.54,50.48,50.72,50.33,50.5,638700
2014-05-14,47.88,49.79,50.43,49.74,50.3,470700
2014-05-15,46.44,48.29,49.74,47.98,49.52,738400
2014-05-16,47.39,49.28,49.43,48.15,48.32,719500
2014-05-19,48.28,50.21,50.36,49.27,49.3,653500
2014-05-20,48.56,50.5,50.54,49.75,49.87,1543600
2014-05-21,48.76,50.71,51.03,50.4,50.52,338500
2014-05-22,49.51,51.49,51.84,50.32,50.65,501100
2014-05-23,50.45,52.46,52.59,51.33,51.73,451800
2014-05-27,50.45,52.47,52.84,52.33,52.49,331600
